Pincode,Place,Latitude,Longitude,District,State
722156,Bhutsahar,22.9655,87.1613,BANKURA,WEST BENGAL
722155,Sirsara,24.7126,79.0369,BANKURA,WEST BENGAL
722154,Gelia,23.0506,87.5121,BANKURA,WEST BENGAL
722153,Tiluri,23.6453,84.4387,BANKURA,WEST BENGAL
722152,Chingani,24.0838,81.8652,BANKURA,WEST BENGAL
722151,Simlapal,22.9131,87.0718,BANKURA,WEST BENGAL
722150,Gangnala,22.7619,87.0212,BANKURA,WEST BENGAL
722149,Dauni,23.7714,84.9386,BANKURA,WEST BENGAL
722148,Deuli,22.5698,86.2099,BANKURA,WEST BENGAL
722147,Ramsagar,24.9407,79.3036,BANKURA,WEST BENGAL
722146,Bhagabandh,23.7714,84.9386,BANKURA,WEST BENGAL
722144,Ranikhamar,23.1387,87.2026,BANKURA,WEST BENGAL
722143,Sadhana Rangamati,23.7714,84.9386,BANKURA,WEST BENGAL
722142,Maliara,23.4756,87.2248,BANKURA,WEST BENGAL
722141,Kotalpur,23.0119,87.5938,BANKURA,WEST BENGAL
722140,Chaka,23.3566,86.6989,BANKURA,WEST BENGAL
722139,Jambedia,24.6909,85.5643,BANKURA,WEST BENGAL
722138,Belsulia,27.3973,86.6946,BANKURA,WEST BENGAL
722137,Kamalpur,26.5156,79.7945,BANKURA,WEST BENGAL
722136,Gopalpur,24.8333,87.8,BANKURA,WEST BENGAL
722135,Ambikanagar,22.9442,86.7694,BANKURA,WEST BENGAL
722134,Satpatta,22.8,86.95,BANKURA,WEST BENGAL
722133,Gangajalghati,23.4224,87.1141,BANKURA,WEST BENGAL
722132,Garhdubrajpur,22.7285,86.9256,BANKURA,WEST BENGAL
722122,Bishnupur Stn Rd,24.3018,85.3634,BANKURA,WEST BENGAL
722121,Rampur,21.7833,83.9333,BANKURA,WEST BENGAL
722102,Bankati,26.8639,79.0795,BANKURA,WEST BENGAL
722101,Bankura,23.2324,87.0716,BANKURA,WEST BENGAL
721659,Srikrishnapur,21.9344,87.3786,MEDINIPUR EAST,WEST BENGAL
721658,Baroda,25.5,76.65,MEDINIPUR EAST,WEST BENGAL
721657,Geondab,23.1119,86.3752,MEDINIPUR EAST,WEST BENGAL
721656,Amratala,22.3221,88.3303,MEDINIPUR EAST,WEST BENGAL
721655,Madhusudanchak,23.1119,86.3752,MEDINIPUR EAST,WEST BENGAL
721654,Lakshya,22.1303,88.0483,MEDINIPUR EAST,WEST BENGAL
721653,Haridaspur,20.7261,86.1179,MEDINIPUR EAST,WEST BENGAL
